embedding_x,embedding_y
9.100326,-7.936187
10.280245,-5.3735147
10.197146,-6.8881884
18.505709,14.952629
22.483515,6.664168
11.190751,-6.871187
9.063689,-7.751677
10.376558,27.185488
7.3707786,-9.597366
-5.3683987,4.24824
6.1317883,25.621552
18.730139,15.597657
4.062595,-9.9010315
22.570591,6.242838
9.850217,-6.942001
4.072549,-9.898742
10.073493,15.11482
18.40717,15.803785
3.0114083,24.237442
4.3351917,-9.860321
4.6870804,-9.693738
22.249525,16.398466
11.130924,-7.0665264
-0.6431133,0.1605665
9.057862,-7.7659016
3.0106719,24.236652
3.0141513,-0.028306786
23.268332,0.7455321
6.5316224,1.5662231
0.40271017,6.340928
7.2868156,-10.179114
5.710811,1.4026046
22.662386,0.42516354
12.6572,15.691918
18.429333,14.248799
-0.7421736,0.08126647
4.072098,-9.897121
4.1663685,2.2071528
4.925461,-9.683244
3.0153615,0.08290167
-1.2553723,-0.12156774
9.781429,-2.81346
6.266522,-8.555327
23.92572,5.917516
22.263186,1.0478328
22.237095,1.1325918
0.52808124,3.7863398
4.0429306,-9.88106
5.7709827,1.2839677
7.207399,1.1026113
23.38827,0.3514898
-1.2751772,-7.063912
-8.892925,11.775416
3.3625588,-13.749241
9.515756,-1.7427589
9.877567,14.863679
-9.971755,9.352907
2.2613232,1.2746248
3.329679,-13.781577
22.507973,6.419792
-0.13390583,20.875513
-5.377309,4.2426534
14.653429,21.268938
10.454567,17.748415
9.530029,22.2685
-3.9169366,15.708486
4.0452666,-9.870052
6.531204,1.2617229
4.1160645,-9.909662
8.366477,-8.837119
9.042186,-7.7753525
6.8257008,-9.4904995
2.9640696,24.170181
9.6058035,14.102925
3.0100396,24.235384
14.528039,21.15889
10.283961,-5.3658204
4.362095,-9.853623
6.8370333,-7.7890887
22.096882,1.314899
2.9603534,24.164248
10.14277,-5.5675955
9.625882,14.130521
0.048713885,4.8259254
23.563461,5.254464
9.086092,-2.055476
-2.718179,18.993374
23.293104,0.31333312
3.3165176,-13.794873
9.613472,-2.8848715
3.3839676,-0.029222436
18.446728,14.216073
-1.5551262,-0.3726104
5.794458,15.451479
11.134477,-6.8482156
12.641212,15.6758375
4.1126165,-9.886644
7.341584,-9.68771
23.444998,0.24370839
8.262402,1.7646229
8.995653,-2.680006
7.5497184,14.604332
-3.9148884,15.719164
11.441099,-5.658942
3.4200442,-13.691738
10.131733,27.312813
10.409136,-5.2139497
9.11527,-2.6069684
5.5495453,16.034605
2.9688137,24.177847
6.7154126,-8.757029
5.526338,15.835551
-10.039785,9.394614
3.0201507,24.245842
-2.5342178,19.15186
9.871126,-6.974726
-1.2335823,-0.10579083
10.954597,18.29522
4.497348,-9.823971
6.7313976,-8.668788
9.051344,-7.7682858
11.873957,-7.381073
8.342672,22.153488
